,player_name,_col_1
0,Mike Miller,26/08/1982
1,Quincy Acy,01/01/1990
2,Joe Johnson,06/24/1981
3,Brook Lopez,04/01/1988
4,Davis Bertans,19/10/1992
5,DeAndre' Bembry,01/04/1994
6,Okaro White,23/02/1993
7,Deron Williams,26/07/1984
8,Glen Davis,25/08/1986
9,Raul Neto,19/04/1992
10,Kevin Martin,01/06/1983
11,Rudy Gay,17/08/1986
12,Marquese Chriss,13/07/1997
13,Justise Winslow,12/26/1996
14,Emmanuel Mudiay,18/03/1996
15,Erick Green,23/02/1992
16,E'Twaun Moore,01/02/1991
17,Josh Richardson,23/09/1993
18,Sergey Karasev,14/06/1993
19,Evan Turner,10/10/1988
20,Isaiah Canaan,24/01/1991
21,Zoran Dragic,14/04/1989
22,Doug McDermott,18/08/1992
23,Ray McCallum,23/02/1991
24,Jusuf Nurkic,23/08/1994
25,Joel Anthony,11/08/1982
26,Cameron Payne,12/08/1994
27,Troy Williams,23/02/1994
28,Henry Sims,01/01/1990
29,Jarell Eddie,23/02/1990
30,A.J. Price,23/04/1986
31,Sebastian Telfair,13/06/1989
32,Francisco Garcia,23/12/1981
33,Patty Mills,13/08/1988
34,Omer Asik,01/07/1986
35,Kawhi Leonard,28/06/1991
36,Denzel Valentine,12/11/1993
37,Quincy Miller,23/02/1992
38,DeAndre Liggins,23/04/1985
39,Hollis Thompson,23/08/1991
40,Grant Jerrett,23/02/1996
41,Josh McRoberts,01/01/1987
42,Gary Harris,23/09/1994
43,Jonas Jerebko,09/03/1986
44,John Henson,12/10/1990
45,Kendall Marshall,19/01/1992
46,PJ Tucker,10/10/1985
47,Adreian Payne,02/03/1993
48,Nicolas Batum,07/04/1988
49,Marc Gasol,29/01/1985
50,Chase Budinger,23/08/1988
51,Cristiano Felicio,23/04/1992
52,Kevon Looney,23/02/1995
53,Rajon Rondo,02/10/1988
54,Pau Gasol,07/06/1980
55,Martell Webster,19/02/1986
56,Brandon Jennings,09/09/1989
57,Dario Saric,13/04/1994
58,Blake Griffin,24/03/1988
59,Malcolm Brogdon,12/11/1992
60,Perry Jones III,23/09/1991
61,Kevin Durant,09/09/1988
62,Joe Ingles,14/01/1990
63,Ed Davis,19/03/1990
64,Solomon Hill,12/03/1993
65,Deyonta Davis,23/01/1997
66,Shane Larkin,01/01/1992
67,CJ Watson,01/01/1987
68,Terry Rozier,01/08/1994
69,Carl Landry,19/08/1983
70,Timofey Mozgov,16/01/1986
71,Reggie Williams,23/02/1986
72,Robin Lopez,09/04/1988
73,Russ Smith,01/01/1991
74,J.J. Barea,June/30/1984
75,Troy Daniels,23/04/1991
76,Marcus Smart,13/05/1994
77,Briante Weber,23/02/1992
78,Danny Granger,10/04/1983
79,Aaron Brooks,19/04/1985
80,Dwyane Wade,11/17/1982
81,Al-Farouq Aminu,13/06/1990
82,Alan Anderson,01/01/1990
83,Chris Copeland,11/07/1984
84,Al Jefferson,09/01/1985
85,Tarik Black,23/02/1991
86,Chris McCullough,01/01/1995
87,Elfrid Payton,23/01/1994
88,LaMarcus Aldridge,13/07/1988
89,Jason Terry,06/15/1975
90,Patrick McCaw,23/10/1995
91,Pero Antic,01/01/1982
92,Jordan McRae,23/08/1993
93,Jeff Taylor,23/02/1990
94,Domantas Sabonis,23/05/1996
95,Jon Leuer,23/05/1986
96,Mindaugas Kuzminskas,23/01/1989
97,Jodie Meeks,23/07/1987
98,Larry Drew II,23/02/1990
99,Jerian Grant,23/10/1994
100,Yogi Ferrell,23/01/1993
101,Tristan Thompson,13/06/1991
102,Kyle Anderson,01/09/1993
103,Markel Brown,23/02/1992
104,Austin Daye,23/01/1988
105,Malachi Richardson,23/01/1997
106,Spencer Hawes,10/04/1988
107,Marcus Morris,22/09/1989
108,Shawn Marion,19/05/1978
109,Alex Len,15/01/1993
110,Taj Gibson,01/05/1985
111,Aron Baynes,12/09/1986
112,Larry Sanders,23/08/1988
113,Allen Crabbe,23/04/1994
114,Anthony Bennett,19/07/1995
115,Joey Dorsey,24/05/1983
116,Kelly Oubre Jr.,12/09/1995
117,Gorgui Dieng,08/09/1990
118,Will Barton,01/06/1991
119,Rashad Vaughn,23/02/1996
120,Jeff Ayres,23/01/1987
121,Shawn Long,23/02/1990
122,Sergio Rodriguez,30/06/1989
123,Ian Mahinmi,11/11/1986
124,DeAndre Jordan,24/07/1988
125,Rodney Hood,02/20/1992
126,Anthony Morrow,23/09/1985
127,Karl-Anthony Towns,15/11/1995
128,Jordan Hamilton,23/04/1990
129,Corey Brewer,19/07/1986
130,Sonny Weems,01/07/1986
131,Eric Bledsoe,09/09/1994
132,Ryan Hollins,12/10/1984
133,Jason Richardson,23/04/1981
134,Nikola Jokic,09/02/1995
135,Derrick Rose,10/08/1988
136,CJ McCollum,3/19/1993
137,John Wall,19/09/1990
138,Kevin Garnett,05/19/1976
139,Chasson Randle,23/04/1993
140,Joe Harris,23/03/1991
141,D.J. Augustin,14/11/1987
142,Hedo Turkoglu,06/06/1979
143,Tony Wroten,23/02/1993
144,Kyrie Irving,23/03/1992
145,Stephen Curry,14/03/1988
146,Tony Parker,17/06/1982
147,Ian Clark,23/04/1991
148,Nene,07/09/1982
149,Ryan Kelly,23/04/1992
150,Jae Crowder,23/07/1990
151,Festus Ezeli,23/02/1990
152,James Harden,13/08/1989
153,Evan Fournier,10/07/1992
154,Channing Frye,01/03/1983
155,Kenneth Faried,23/11/1989
156,Dante Exum,12/11/1995
157,Andrew Bogut,16/07/1984
158,Brandan Wright,01/11/1987
159,Patrick Beverley,12/12/1988
160,Cory Joseph,14/05/1993
161,Ivica Zubac,23/03/1997
162,O.J. Mayo,24/07/1987
163,Brian Roberts,12/03/1985
164,Caron Butler,01/04/1980
165,Arron Afflalo,01/10/1989
166,Darrun Hilliard,23/01/1992
167,Clint Capela,19/05/1994
168,Pablo Prigioni,15/04/1977
169,Eric Gordon,19/12/1988
170,James Michael McAdoo,23/01/1993
171,Tyler Ennis,14/01/1994
172,Pierre Jackson,23/04/1991
173,Hassan Whiteside,14/06/1991
174,Giannis Antetokounmpo,05/12/1994
175,Cory Jefferson,23/02/1990
176,Kelly Olynyk,10/04/1991
177,Thon Maker,23/02/1997
178,Elijah Millsap,23/02/1987
179,Greg Monroe,02/04/1990
180,Dejounte Murray,12/19/1996
181,Sheldon McClellan,23/04/1994
182,Jonathon Simmons,23/04/1992
183,Delon Wright,14/08/1992
184,Zaza Pachulia,19/02/1984
185,Beno Udrih,12/05/1982
186,Kent Bazemore,01/11/1992
187,Chandler Parsons,19/05/1988
188,Tobias Harris,13/07/1992
189,Anderson Varejao,18/09/1984
190,Reggie Bullock,23/03/1991
191,Will Bynum,01/02/1983
192,Norris Cole,19/05/1988
193,Kostas Papanikolaou,01/07/1990
194,Timothe Luwawu-Cabarrot,23/05/1995
195,Tony Allen,06/01/1982
196,Jeremy Lin,06/23/1990
197,Marcus Thornton,23/08/1987
198,Wesley Matthews,14/10/1986
199,Darren Collison,23/10/1987
