"Game ID","name","Points","Assists","Total rebounds","Steals","Blocks"
"0","aaron","17","seven","15","two","null"
"0","al horford","17","seven","15","two","null"
"0","jeff teague","17","seven","15","two","null"
"0","kyle","17","seven","15","two","null"
"0","nikola vucevic","17","seven","15","two","null"
"1","brandon knight","16","four","12","null","null"
"1","cole aldrich","16","four","12","null","null"
"1","giannis antetokounmpo","16","four","12","null","null"
"1","j. r. smith","16","four","12","null","null"
"1","jason smith","16","four","12","null","null"
"1","tim hardaway","16","four","12","null","null"
"1","zaza pachulia","16","four","12","null","null"
"2","courtney lee","22","null","null","null","null"
"2","eric bledsoe","23","four","five","null","null"
"2","goran drag","six","null","five","null","null"
"2","isaiah thomas","15","two","null","null","null"
"2","marc gasol","18","six","five","null","null"
"2","markieff morris","20","two","five","null","null"
"2","mike conley","null","11","null","null","null"
"3","amir johnson","13","eight","three","two","three"
"3","andre drummond","13","eight","three","two","three"
"3","d. j. augustin","13","eight","three","two","null"
"3","demar derozan","13","eight","three","two","three"
"3","gr","35","eight","three","two","three"
"3","kentavious caldwell - pope","13","eight","three","two","null"
"3","monroe","13","eight","three","two","three"
"3","valnciunas","13","eight","three","two","three"
"3","vasquez","35","eight","three","two","three"
"4","andre drummond","10","three","seven","a","a"
"4","jabari parker","10","three","seven","a","a"
"4","khris middleton","10","three","seven","a","a"
"4","marcus morris","10","three","seven","a","a"
"4","miles plumlee","10","three","seven","a","a"
"4","monroe","10","three","seven","a","a"
"4","reggie jackson","10","three","seven","a","a"
"4","tobias harris","10","three","seven","a","a"
"5","giannis antetokounmpo","13","four","13","five","one"
"5","kevin love","13","four","13","five","one"
"5","kyrie irving","13","four","13","five","one"
"5","lebron","13","four","13","five","one"
"5","michael beasley","13","four","13","five","one"
"7","durant","23","seven","null","null","null"
"7","giannis antetokounmpo","17","null","seven","null","null"
"7","ibaka","15","null","null","null","null"
"7","o. j. mayo","18","null","null","null","null"
"7","reggie jackson","18","null","seven","null","null"
"7","russell westbrook","28","seven","null","null","null"
"8","17","null","null","null","null","null"
"8","carmelo anthony","45","null","null","null","null"
"8","courtney lee","17","null","nine","null","null"
"8","dennis schroder","23","null","null","null","null"
"8","dunleavy","12","null","null","null","null"
"8","dwight howard","19","null","null","null","null"
"8","joakim noah","null","null","26","null","null"
"8","kent bazemore","24","null","null","null","null"
"8","kristaps porzingis","15","null","null","null","null"
"8","kyle","null","null","null","null","null"
"8","mindau","null","null","null","null","null"
"8","paul millsap","37","null","19","null","null"
"8","tim hardaway","19","null","13","null","null"
"9","griffin","21","ten","seven","three","null"
"9","k","21","ten","seven","three","null"
"9","thompson","21","ten","seven","three","null"
"10","carmelo anthony","26","two","three","a","a"
"10","jordan","15","two","three","a","a"
"10","jose calderon","26","two","three","a","a"
"10","kobe bryant","15","two","three","a","a"
"10","porzing","15","two","three","a","a"
"10","robin lopez","15","two","three","a","a"
"10","williams","15","two","three","a","a"
"11","dellavedova","11","null","13","null","null"
"11","demarre carroll","11","null","13","null","null"
"11","giannis antetokounmpo","11","null","13","null","null"
"11","henson","11","null","13","null","null"
"11","kyle lowry","11","null","13","null","null"
"11","terrence ross","11","null","13","null","null"
"11","valanciunas","11","null","13","null","null"
"12","andrew wiggins","six","an","three","two","null"
"12","courtney lee","14","null","null","null","null"
"12","marc gasol","32","three","nine","two","two"
"12","mike conley","16","six","one","a","null"
"12","mo williams","18","four","null","a","null"
"12","thaddeus young","26","four","four","two","null"
"12","zach randolph","25","an","13","null","a"
"13","bogdon","22","null","null","null","null"
"13","bogdonavic","22","null","null","null","null"
"13","bradley beal","24","null","null","null","null"
"13","brook lopez","26","null","10","null","null"
"13","deron williams","nine","nine","seven","null","null"
"13","jarrett jack","14","nine","null","null","null"
"13","john wall","null","10","seven","null","null"
"13","marcin gortat","21","null","16","null","null"
"13","ramon sessions","null","10","seven","null","null"
"13","thaddeus young","null","null","seven","null","null"
"14","d ’ angelo russell","22","null","null","null","null"
"14","gortat","16","null","10","null","null"
"14","john wall","22","13","five","null","null"
"14","kobe bryant","17","two","one","null","null"
"14","marc","null","null","10","null","null"
"15","bradley","20","six","three","two","three"
"15","bradley beal","20","six","three","two","three"
"15","butler","20","six","three","two","three"
"15","dejuan blair","20","six","three","two","three"
"15","kevin love","20","six","three","two","three"
"15","kevin seraphin","20","six","three","two","three"
"15","martell webster","20","six","three","two","three"
"15","matthew dellavedova","20","six","three","two","three"
"15","perkins","20","six","three","two","three"
"15","ramon sessions","20","six","three","two","three"
"15","shump","20","six","three","two","three"
"15","tristan thompson","20","six","three","two","three"
"15","wall","20","six","three","two","three"
"16","jordan clarkson","25","null","null","null","null"
"16","kobe bryant","25","null","null","null","null"
"16","lou williams","25","null","null","null","null"
"16","will barton","25","null","null","null","null"
"17","evan turner","24","null","six","null","null"
"17","wesley matthews","24","null","six","null","null"
"17","yogi ferrell","24","null","six","null","null"
"18","chalmers","12","three","11","a","a"
"18","chris bosh","12","three","two","a","a"
"18","demar derozan","12","three","11","a","a"
"18","dwyane wade","12","three","11","a","a"
"18","jonas valanciunas","12","three","11","a","a"
"18","kyle lowry","12","three","11","a","a"
"18","luol deng","12","three","11","a","a"
"18","shawne williams","12","three","11","a","a"
"18","tyler hansbrough","12","three","11","a","a"
"19","chris paul","17","null","five","three","null"
"19","jamal crawford","17","20","five","three","null"
"19","marreese speights","17","20","five","three","null"
