,player_name
1,Quincy Acy
2,Joe Johnson
3,Brook Lopez
5,DeAndre' Bembry
7,Deron Williams
8,Glen Davis
10,Kevin Martin
13,Justise Winslow
16,E'Twaun Moore
17,Josh Richardson
19,Evan Turner
20,Isaiah Canaan
22,Doug McDermott
23,Ray McCallum
26,Cameron Payne
27,Troy Williams
28,Henry Sims
30,A.J. Price
31,Sebastian Telfair
36,Denzel Valentine
37,Quincy Miller
38,DeAndre Liggins
39,Hollis Thompson
40,Grant Jerrett
42,Gary Harris
45,Kendall Marshall
50,Chase Budinger
52,Kevon Looney
53,Rajon Rondo
55,Martell Webster
58,Blake Griffin
59,Malcolm Brogdon
60,Perry Jones III
61,Kevin Durant
64,Solomon Hill
65,Deyonta Davis
66,Shane Larkin
67,CJ Watson
68,Terry Rozier
69,Carl Landry
72,Robin Lopez
73,Russ Smith
75,Troy Daniels
76,Marcus Smart
77,Briante Weber
78,Danny Granger
79,Aaron Brooks
80,Dwyane Wade
83,Chris Copeland
85,Tarik Black
87,Elfrid Payton
89,Jason Terry
90,Patrick McCaw
92,Jordan McRae
97,Jodie Meeks
98,Larry Drew II
99,Jerian Grant
100,Yogi Ferrell
102,Kyle Anderson
103,Markel Brown
106,Spencer Hawes
107,Marcus Morris
108,Shawn Marion
110,Taj Gibson
112,Larry Sanders
116,Kelly Oubre Jr.
118,Will Barton
119,Rashad Vaughn
124,DeAndre Jordan
125,Rodney Hood
126,Anthony Morrow
127,Karl-Anthony Towns
129,Corey Brewer
131,Eric Bledsoe
132,Ryan Hollins
133,Jason Richardson
135,Derrick Rose
136,CJ McCollum
137,John Wall
138,Kevin Garnett
139,Chasson Randle
143,Tony Wroten
144,Kyrie Irving
145,Stephen Curry
152,James Harden
154,Channing Frye
155,Kenneth Faried
158,Brandan Wright
162,O.J. Mayo
163,Brian Roberts
164,Caron Butler
165,Arron Afflalo
166,Darrun Hilliard
169,Eric Gordon
170,James Michael McAdoo
180,Dejounte Murray
186,Kent Bazemore
190,Reggie Bullock
191,Will Bynum
192,Norris Cole
197,Marcus Thornton
198,Wesley Matthews
199,Darren Collison
200,Jerami Grant
202,Tyus Jones
205,Larry Nance Jr.
206,Austin Rivers
207,T.J. McConnell
209,Fred VanVleet
211,Jabari Parker
212,Paul George
213,Amar'e Stoudemire
214,Khris Middleton
216,Tyler Hansbrough
217,Matt Bonner
218,Archie Goodwin
219,Kenyon Martin
221,Lou Amundson
223,Andre Miller
225,KJ McDaniels
227,PJ Hairston
230,Dewayne Dedmon
232,Shawne Williams
235,Cole Aldrich
238,Ronnie Price
239,Chris Paul
240,Willie Cauley-Stein
242,Johnny O'Bryant III
243,DeMar DeRozan
244,Andre Iguodala
247,Elton Brand
248,Cleanthony Early
