,player_name
1,Quincy Acy
2,Joe Johnson
3,Brook Lopez
5,DeAndre' Bembry
7,Deron Williams
8,Glen Davis
10,Kevin Martin
13,Justise Winslow
16,E'Twaun Moore
17,Josh Richardson
19,Evan Turner
20,Isaiah Canaan
22,Doug McDermott
23,Ray McCallum
26,Cameron Payne
27,Troy Williams
28,Henry Sims
30,A.J. Price
31,Sebastian Telfair
36,Denzel Valentine
37,Quincy Miller
38,DeAndre Liggins
39,Hollis Thompson
40,Grant Jerrett
42,Gary Harris
45,Kendall Marshall
50,Chase Budinger
52,Kevon Looney
53,Rajon Rondo
55,Martell Webster
58,Blake Griffin
59,Malcolm Brogdon
60,Perry Jones III
61,Kevin Durant
64,Solomon Hill
65,Deyonta Davis
66,Shane Larkin
67,CJ Watson
68,Terry Rozier
69,Carl Landry
72,Robin Lopez
73,Russ Smith
75,Troy Daniels
76,Marcus Smart
77,Briante Weber
78,Danny Granger
79,Aaron Brooks
80,Dwyane Wade
83,Chris Copeland
85,Tarik Black
87,Elfrid Payton
89,Jason Terry
90,Patrick McCaw
92,Jordan McRae
97,Jodie Meeks
98,Larry Drew II
99,Jerian Grant
100,Yogi Ferrell
102,Kyle Anderson
103,Markel Brown
106,Spencer Hawes
107,Marcus Morris
108,Shawn Marion
110,Taj Gibson
112,Larry Sanders
116,Kelly Oubre Jr.
118,Will Barton
119,Rashad Vaughn
124,DeAndre Jordan
125,Rodney Hood
126,Anthony Morrow
127,Karl-Anthony Towns
129,Corey Brewer
131,Eric Bledsoe
132,Ryan Hollins
133,Jason Richardson
135,Derrick Rose
136,CJ McCollum
137,John Wall
138,Kevin Garnett
139,Chasson Randle
143,Tony Wroten
144,Kyrie Irving
145,Stephen Curry
152,James Harden
154,Channing Frye
155,Kenneth Faried
158,Brandan Wright
162,O.J. Mayo
163,Brian Roberts
164,Caron Butler
165,Arron Afflalo
166,Darrun Hilliard
169,Eric Gordon
170,James Michael McAdoo
175,Cory Jefferson
180,Dejounte Murray
186,Kent Bazemore
190,Reggie Bullock
191,Will Bynum
192,Norris Cole
197,Marcus Thornton
198,Wesley Matthews
199,Darren Collison
200,Jerami Grant
202,Tyus Jones
205,Larry Nance Jr.
206,Austin Rivers
207,T.J. McConnell
209,Fred VanVleet
211,Jabari Parker
212,Paul George
213,Amar'e Stoudemire
214,Khris Middleton
216,Tyler Hansbrough
217,Matt Bonner
218,Archie Goodwin
219,Kenyon Martin
221,Lou Amundson
223,Andre Miller
225,KJ McDaniels
227,PJ Hairston
230,Dewayne Dedmon
232,Shawne Williams
235,Cole Aldrich
238,Ronnie Price
239,Chris Paul
240,Willie Cauley-Stein
242,Johnny O'Bryant III
243,DeMar DeRozan
244,Andre Iguodala
247,Elton Brand
248,Cleanthony Early
250,Mike Scott
251,Gary Neal
253,Miles Plumlee
254,Sam Dekker
258,Tyler Ulis
259,Meyers Leonard
260,Kirk Hinrich
262,Wayne Ellington
264,Michael Carter-Williams
265,Klay Thompson
267,Dorell Wright
270,Kobe Bryant
272,Courtney Lee
275,Jarell Martin
276,Randy Foye
279,Anthony Tolliver
280,Jimmy Butler
281,JJ Redick
282,DeJuan Blair
285,Nate Wolters
286,Michael Kidd-Gilchrist
288,JJ Hickson
289,Kay Felder
290,Tim Frazier
292,Aaron Gordon
293,Ben McLemore
294,Rodney Stuckey
296,Landry Fields
299,James Ennis III
300,Tim Hardaway Jr.
302,Lance Stephenson
303,Bryce Dejean-Jones
307,Cody Zeller
311,Alec Burks
314,Seth Curry
315,LeBron James
316,Trevor Ariza
317,Gerald Henderson
320,Tyson Chandler
322,Justin Anderson
323,Kris Humphries
325,Tim Duncan
326,Mario Chalmers
330,Ty Lawson
331,Bobby Portis
332,Mason Plumlee
334,Russell Westbrook
335,Mike Conley
336,Rasual Butler
337,Mo Williams
338,Jared Dudley
339,Isaiah Thomas
344,Thaddeus Young
345,Travis Wear
348,Ricky Ledo
350,Marreese Speights
351,Dahntay Jones
353,Steve Blake
357,TJ Warren
359,Jordan Clarkson
361,Julius Randle
363,Devin Booker
364,Glenn Robinson III
366,Frank Kaminsky
367,Kentavious Caldwell-Pope
368,Kyle Korver
369,Maurice Harkless
370,Dorian Finney-Smith
371,Nick Young
373,Kris Dunn
374,Iman Shumpert
376,Otto Porter
377,Alex Stepheson
378,Kyle Singler
379,Richard Jefferson
380,Damian Lillard
381,Jrue Holiday
383,JaVale McGee
386,Trevor Booker
388,Rondae Hollis-Jefferson
389,Lou Williams
391,Justin Holiday
392,Ryan Anderson
394,Isaiah Whitehead
395,Tyler Zeller
396,Spencer Dinwiddie
397,Kemba Walker
398,Steve Novak
400,Jaylen Brown
401,Shabazz Muhammad
403,Andre Drummond
404,Andre Roberson
405,Draymond Green
406,Jimmer Fredette
407,Glenn Robinson
410,Jabari Brown
413,Markieff Morris
414,Victor Oladipo
417,Anthony Davis
418,Kevin Love
419,Wesley Johnson
422,Robert Covington
424,Paul Pierce
426,Mitch McGary
427,JaKarr Sampson
431,Caris LeVert
432,Devyn Marble
434,Ron Baker
435,Josh Smith
438,Metta World Peace
443,Jeff Teague
445,Brandon Knight
446,Carmelo Anthony
447,Zach Randolph
448,Avery Bradley
455,Danny Green
456,Monta Ellis
457,Al Horford
458,DeMarcus Cousins
459,George Hill
462,Trey Burke
463,Jahlil Okafor
466,Derrick Favors
467,Zach LaVine
469,Rakeem Christmas
470,Kyle O'Quinn
471,Derrick Williams
472,Devin Harris
474,Chris Johnson
475,Ish Smith
476,Jeff Withey
478,Jared Sullinger
479,Dante Cunningham
480,JR Smith
481,Jordan Farmar
482,Alonzo Gee
488,Jeremy Lamb
491,Udonis Haslem
493,Shelvin Mack
494,Roy Hibbert
495,Nate Robinson
497,Shabazz Napier
498,Dion Waiters
