"Game ID","name","Points"
"0","al horford","17"
"0","jeff teague","17"
"1","brandon knight","17"
"3","amir johnson","17"
"5","beasley","13"
"5","giannis antetokounmpo","13"
"5","kevin love","13"
"5","kyrie","13"
"5","lebron james","13"
"5","milwaukee bucks","13"
"7","bucks","15"
"7","durant","15"
"7","giannis antetokounmpo","15"
"7","ja","15"
"7","mayo","15"
"7","oklahoma","15"
"7","reggie jackson","15"
"7","russell westbrook","15"
"8","bazemore","12"
"8","carmelo anthony","12"
"8","courtney","12"
"8","dennis","13"
"8","dwight howard","12"
"8","joakim noah","13"
"8","kent","12"
"8","kristaps porzingis","12"
"8","kyle","12"
"8","mills","12"
