"Game ID","name","Wins","Losses","Total points"
"0","atlanta hawks","46","12","95"
"0","orlando magic","19","41","88"
"1","milwaukee bucks","18","17","95"
"1","new york knicks","5","31","82"
"2","grizzlies","null","null","102"
"2","phoenix","null","null","91"
"3","detroit pistons","17","15","110"
"3","toronto raptors","17","28","110"
"4","24","24","35","91"
"4","detroit pistons","24","35","91"
"4","milwaukee bucks","24","35","91"
"5","cleveland cavaliers","13","3","101"
"5","milwaukee bucks","13","3","101 tuesday"
"6","bulls","null","1","null"
"6","celtics","0","4","93"
"6","cleveland cavaliers","null","null","101"
"7","milwaukee bucks","11","12","101"
"7","oklahoma city thunder","8","13","114"
"9","clippers","null","null","null"
"9","warriors","null","null","null"
