"Game ID","name","Wins","Losses","Total points"
"0","atlanta hawks","46","12","95"
"0","orlando magic","19","41","88"
"1","milwaukee bucks","18","17","95"
"1","new york knicks","5","31","82"
"2","grizzlies","null","null","102"
"2","phoenix","null","null","91"
"3","detroit pistons","17","28","110"
"3","toronto raptors","29","15","114"
"4","24","30","29","91"
"4","detroit pistons","30","29","102"
"4","milwaukee bucks","24","35","91"
"5","cleveland cavaliers","13","3","101"
"5","milwaukee bucks","8","8","118"
"6","boston celtics","0","1","93"
"6","bulls","3","1","93"
"6","cleveland cavaliers","3","1","93"
"7","milwaukee bucks","11","12","101"
"7","oklahoma city thunder","11","12","101"
"8","atlanta","null","null","null"
"8","new york","null","null","null"
"10","los angeles lakers","14","53","87"
"10","new york knicks","28","40","90"
"11","milwaukee","null","null","null"
"11","raptors","null","null","null"
"12","memphis grizzlies","0","1","101"
"12","minnesota timberwolves","0","1","101"
"13","boston","45","34","80"
"13","brooklyn nets","45","34","80"
"13","washington wizards","45","34","80"
"14","los angeles lakers","36","37","88"
"14","washington wizards","36","37","88"
"15","cleveland cavaliers","46","36","108"
"15","washington wizards","46","36","108"
"16","denver nuggets","11","17","107"
"16","los angeles lakers","11","17","107"
"17","dallas mavericks","22","29","104"
"17","portland","22","29","104"
"18","miami heat","null","null","107"
"18","toronto rap","2","1","102"
"19","clippers","null","null","null"
