"title","director_name"
"Avatar","James Cameron"
"Avatar","Jon Favreau"
"Avatar","Ang Lee"
"Avatar","Jon M. Chu"
"Avatar","Richard Attenborough"
"Pirates of the Caribbean: At World's End","Gore Verbinski"
"Spectre","Sam Mendes"
"Spectre","McG"
"Spectre","Duncan Jones"
"Spectre","Christopher McQuarrie"
"Spectre","Florian Henckel von Donnersmarck"
"Spectre","Florent-Emilio Siri"
"Spectre","Gary McKendry"
"Spectre","Wych Kaosayananda"
"Spectre","Dan St. Pierre"
"Spectre","Kevin Macdonald"
"Spectre","Phyllida Lloyd"
"Spectre","Paul Hunter"
"Spectre","Terence Young"
"Spectre","Russell Mulcahy"
"Spectre","John Glen"
"Spectre","Callan Brunker"
"Spectre","Stephen T. Kay"
"Spectre","Geoffrey Sax"
"Spectre","Kevin Munroe"
"Spectre","Patrick Tatopoulos"
"Spectre","Michael Rymer"
"Spectre","Kimble Rendall"
"Spectre","Scott Speer"
"Spectre","Lewis Gilbert"
"Spectre","J.B. Rogers"
"Spectre","Shane Acker"
"Spectre","Nick Hurran"
"Spectre","Richard J. Lewis"
"Spectre","Niels Arden Oplev"
"Spectre","Maksim Fadeev"
"Spectre","Shinji Aramaki"
"Spectre","Agustín Díaz Yanes"
"Spectre","Kevin Allen"
"Spectre","Oleg Stepchenko"
"Spectre","Bob Spiers"
"Spectre","Dexter Fletcher"
"Spectre","Steve Barron"
"Spectre","Marcos Siega"
"Spectre","Rachel Talalay"
"Spectre","Jérôme Deschamps"
"Spectre","Mary McGuckian"
"Spectre","Jonathan Newman"
"Spectre","Christian Carion"
"Spectre","Tomas Alfredson"
"Spectre","Mennan Yapo"
"Spectre","Anton Corbijn"
"Spectre","Steve Beck"
"Spectre","Frank Nissen"
"Spectre","Gnana Rajasekaran"
"Spectre","Mark Rosman"
"Spectre","Mike Marvin"
"Spectre","Robert Harmon"
"Spectre","Gary Halvorson"
"Spectre","Perry Andelin Blake"
"Spectre","Christian E. Christiansen"
"Spectre","Vicente Amorim"
"Spectre","Yoon Je-kyoon"
"Spectre","Morten Tyldum"
"Spectre","James Marsh"
"Spectre","Douglas Aarniokoski"
"Spectre","James Foley"
"Spectre","Mark Piznarski"
"Spectre","Mary Lambert"
"Spectre","Andrey Zvyagintsev"
"Spectre","Darrell James Roodt"
"Spectre","Jake Paltrow"
"Spectre","Anthony Silverston"
"Spectre","Gabe Ibáñez"
"Spectre","Gilles Paquet-Brenner"
"Spectre","Stewart Hendler"
"Spectre","Jake Schreier"
"Spectre","Marco Kreuzpaintner"
"Spectre","Lijun Sun"
"Spectre","Timothy Hines"
"Spectre","Jamie Thraves"
"Spectre","Simon Curtis"
"Spectre","Philip Saville"
"Spectre","Marcus Raboy"
"Spectre","Bob Dolman"
"Spectre","François Girard"
"Spectre","Derrick Borte"
"Spectre","Benedikt Erlingsson"
"Spectre","Sarik Andreasyan"
"Spectre","Julian Gilbey"
"Spectre","Valeri Milev"
"Spectre","Eric Lavaine"
"Spectre","Martyn Pick"
"Spectre","Roland Suso Richter"
"Spectre","Jeremy Sims"
"Spectre","Ekachai Uekrongtham"
"Spectre","Jonas Elmer"
"Spectre","Erik Canuel"
"Spectre","Keith Gordon"
"Spectre","Marc Schölermann"
"Spectre","Ol Parker"
"Spectre","Charles Robert Carner"
"Spectre","Siddharth Anand"
"Spectre","Ernie Barbarash"
"Spectre","Bob Gosse"
"Spectre","Mark Tonderai"
"Spectre","Matt Piedmont"
"Spectre","Patrick Stettner"
"Spectre","Jim O'Hanlon"
"Spectre","Gary Sinyor"
"Spectre","Darren Grant"
"Spectre","Collin Schiffli"
"Spectre","Michael McGowan"
"Spectre","Stiles White"
"Spectre","George T. Miller"
"Spectre","Joe Chappelle"
"Spectre","James Manera"
"Spectre","Feroz Abbas Khan"
"Spectre","Mateo Gil"
