"Player Name","Team Name"
"Mike Miller","Heat"
"Mike Miller","Grizzlies"
"Mike Miller","Bucks"
"Quincy Acy","Spurs"
"Quincy Acy","Grizzlies"
"Quincy Acy","Pelicans"
"Quincy Acy","Rockets"
"Quincy Acy","Clippers"
"Quincy Acy","Kings"
"Quincy Acy","Warriors"
"Quincy Acy","Magic"
"Quincy Acy","76ers"
"Quincy Acy","Pacers"
"Quincy Acy","Jazz"
"Quincy Acy","Bulls"
"Quincy Acy","Nets"
"Quincy Acy","Timberwolves"
"Quincy Acy","Suns"
"Quincy Acy","Cavaliers"
"Quincy Acy","Pistons"
"Quincy Acy","Thunder"
"Quincy Acy","Hawks"
"Quincy Acy","Trail Blazers"
"Quincy Acy","Wizards"
"Quincy Acy","Raptors"
"Quincy Acy","Mavericks"
"Quincy Acy","Knicks"
"Quincy Acy","Celtics"
"Quincy Acy","Hornets"
"Joe Johnson","Nets"
"Joe Johnson","Hawks"
"Brook Lopez","Bucks"
"Brook Lopez","Magic"
"Brook Lopez","Nets"
"Deron Williams","Jazz"
"Deron Williams","Nets"
"Deron Williams","Mavericks"
"Glen Davis","Heat"
"Glen Davis","Pelicans"
"Glen Davis","Rockets"
"Glen Davis","Clippers"
"Glen Davis","76ers"
"Glen Davis","Wizards"
"Glen Davis","Celtics"
"Glen Davis","Hornets"
"Kevin Martin","Thunder"
"Rudy Gay","Grizzlies"
"Rudy Gay","Pelicans"
"Rudy Gay","Kings"
"Rudy Gay","Nuggets"
"Rudy Gay","Pacers"
"Rudy Gay","Timberwolves"
"Rudy Gay","Pistons"
"Rudy Gay","Thunder"
"Rudy Gay","Hawks"
"Rudy Gay","Trail Blazers"
"Rudy Gay","Wizards"
"Rudy Gay","Raptors"
"Rudy Gay","Knicks"
"Rudy Gay","Hornets"
"Justise Winslow","Heat"
"Justise Winslow","Grizzlies"
"Justise Winslow","Rockets"
"Justise Winslow","Magic"
"Justise Winslow","Jazz"
"Justise Winslow","Bulls"
"Justise Winslow","Pistons"
"Emmanuel Mudiay","Heat"
"Emmanuel Mudiay","Grizzlies"
"Emmanuel Mudiay","Bucks"
"Emmanuel Mudiay","Rockets"
"Emmanuel Mudiay","Clippers"
"Emmanuel Mudiay","Kings"
"Emmanuel Mudiay","Magic"
"Emmanuel Mudiay","76ers"
"Emmanuel Mudiay","Nuggets"
"Emmanuel Mudiay","Pacers"
"Emmanuel Mudiay","Jazz"
"Emmanuel Mudiay","Lakers"
"Emmanuel Mudiay","Bulls"
"Emmanuel Mudiay","Nets"
"Emmanuel Mudiay","Timberwolves"
"Emmanuel Mudiay","Suns"
"Emmanuel Mudiay","Cavaliers"
"Emmanuel Mudiay","Pistons"
"Emmanuel Mudiay","Thunder"
"Emmanuel Mudiay","Trail Blazers"
"Emmanuel Mudiay","Wizards"
"Emmanuel Mudiay","Mavericks"
"Emmanuel Mudiay","Knicks"
"Emmanuel Mudiay","Celtics"
"Emmanuel Mudiay","Hornets"
"Erick Green","Nuggets"
"Erick Green","Wizards"
"Erick Green","Hornets"
"E'Twaun Moore","Heat"
"E'Twaun Moore","Spurs"
"E'Twaun Moore","Pelicans"
"E'Twaun Moore","Bucks"
"E'Twaun Moore","Rockets"
"E'Twaun Moore","Kings"
"E'Twaun Moore","Magic"
"E'Twaun Moore","Pacers"
"E'Twaun Moore","Bulls"
"E'Twaun Moore","Suns"
"E'Twaun Moore","Pistons"
"E'Twaun Moore","Hawks"
"E'Twaun Moore","Wizards"
"E'Twaun Moore","Raptors"
"E'Twaun Moore","Mavericks"
"E'Twaun Moore","Knicks"
"E'Twaun Moore","Celtics"
"E'Twaun Moore","Hornets"
"Sergey Karasev","Spurs"
"Sergey Karasev","Bucks"
"Sergey Karasev","Rockets"
"Sergey Karasev","Magic"
"Sergey Karasev","Pacers"
"Sergey Karasev","Jazz"
"Sergey Karasev","Nets"
"Sergey Karasev","Timberwolves"
"Sergey Karasev","Suns"
"Sergey Karasev","Cavaliers"
"Sergey Karasev","Pistons"
"Sergey Karasev","Thunder"
"Sergey Karasev","Hawks"
"Sergey Karasev","Wizards"
"Sergey Karasev","Raptors"
"Sergey Karasev","Mavericks"
"Sergey Karasev","Knicks"
"Sergey Karasev","Celtics"
"Sergey Karasev","Hornets"
"Evan Turner","Bucks"
"Evan Turner","76ers"
"Evan Turner","Nuggets"
"Evan Turner","Pacers"
"Evan Turner","Cavaliers"
"Evan Turner","Pistons"
"Evan Turner","Hawks"
"Evan Turner","Trail Blazers"
"Evan Turner","Wizards"
"Evan Turner","Celtics"
