,title,left,right,director_name
0,Titanic,Titanic,James Cameron,James Cameron
1,The Lone Ranger,The Lone Ranger,Gore Verbinski,Gore Verbinski
2,Spectre,Spectre,Sam Mendes,Sam Mendes
3,The Dark Knight Rises,The Dark Knight Rises,Christopher Nolan,Christopher Nolan
4,Spider-Man 3,Spider-Man 3,Sam Raimi,Sam Raimi
5,Man of Steel,Man of Steel,Zack Snyder,Zack Snyder
6,Superman Returns,Superman Returns,Bryan Singer,Bryan Singer
7,Quantum of Solace,Quantum of Solace,Marc Forster,Marc Forster
8,The Chronicles of Narnia: Prince Caspian,The Chronicles of Narnia: Prince Caspian,Andrew Adamson,Andrew Adamson
9,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,Rob Marshall
10,Men in Black 3,Men in Black 3,Barry Sonnenfeld,Barry Sonnenfeld
11,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,Peter Jackson,Peter Jackson
12,Robin Hood,Robin Hood,Ridley Scott,Ridley Scott
13,The Golden Compass,The Golden Compass,Chris Weitz,Chris Weitz
14,Avatar,Avatar,James Cameron,James Cameron
15,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,Gore Verbinski
16,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,Zack Snyder,Zack Snyder
17,The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,Peter Jackson,Peter Jackson
18,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,Gore Verbinski,Gore Verbinski
19,King Kong,King Kong,Peter Jackson,Peter Jackson
